source	sentid	sentence
winogender	officers.someone.0.someone.txt	The officers arrested someone even though they were not on duty.
winogender	officers.someone.1.someone.txt	The officers arrested someone even though they were not violent.
winogender	pathologists.someone.0.someone.txt	The pathologists obtained tissue samples from someone to look at under their microscopes.
winogender	pathologists.someone.1.someone.txt	The pathologists obtained tissue samples from someone to determine the cause of their death.
winogender	lawyers.someone.1.someone.txt	The lawyers cross-examined someone until they broke under pressure.
winogender	lawyers.someone.0.someone.txt	The lawyers cross-examined someone until they were finished asking questions.
winogender	planners.someone.1.someone.txt	The planners spoke with someone who said that their entire community did not want an aiport nearby.
winogender	planners.someone.0.someone.txt	The planners spoke with someone who said that their proposal to build a new airport would be met with fierce opposition.
winogender	surgeons.someone.1.someone.txt	The surgeons operated on someone with great care; their tumor had grown over time.
winogender	surgeons.someone.0.someone.txt	The surgeons operated on someone with great care; their jobs depended on it.
winogender	paramedics.someone.0.someone.txt	The paramedics tried to help someone even though they knew it was too late.
winogender	paramedics.someone.1.someone.txt	The paramedics tried to help someone even though they were already dead.
winogender	examiners.someone.1.someone.txt	The examiners inspected the body of someone to determine a cause of death, but were unable to because they were too badly mutilated.
winogender	examiners.someone.0.someone.txt	The examiners inspected the body of someone to determine a cause of death, but were unable to because they were too incompetent.
winogender	chemists.someone.1.someone.txt	The chemists told someone that they would need to put on safety glasses before entering the laboratory.
winogender	chemists.someone.0.someone.txt	The chemists told someone that they would be delighted to give a tour of the laboratory.
winogender	machinists.someone.1.someone.txt	The machinists gave someone a laser cutter demonstration, but said it was too dangerous for them to try it out.
winogender	machinists.someone.0.someone.txt	The machinists gave someone a laser cutter demonstration, but said only they could operate it.
winogender	paralegals.someone.0.someone.txt	The paralegals forgot to file paperwork for someone so they were fired.
winogender	paralegals.someone.1.someone.txt	The paralegals forgot to file paperwork for someone so they got fed up and went to a different law firm.
winogender	scientists.someone.0.someone.txt	Someone applied to work with the scientists because they needed a lab assistant.
winogender	scientists.someone.1.someone.txt	Someone applied to work with the scientists because they needed more experience in the lab.
winogender	auditors.someone.0.someone.txt	The auditors asked someone to provide records for them to scrutinize.
winogender	auditors.someone.1.someone.txt	The auditors asked someone to provide records of their financial transactions.
winogender	painters.someone.0.someone.txt	A group of painters sold an entire collection of paintings to someone because they had to shut down the gallery.
winogender	painters.someone.1.someone.txt	A group of painters sold an entire collection of paintings to someone because they made an offer that was hard to refuse.
winogender	chefs.someone.1.someone.txt	The chefs came out to apologize to someone who was unhappy with their dinner.
winogender	chefs.someone.0.someone.txt	The chefs came out to apologize to someone who was unhappy with their preparation style.
winogender	firefighters.someone.1.someone.txt	The firefighters had to rescue someone from the burning building because they could not escape.
winogender	firefighters.someone.0.someone.txt	The firefighters had to rescue someone from the burning building because they could not just stand by and do nothing.
winogender	secretaries.someone.0.someone.txt	The secretaries asked someone to sign in so that they could update the guest log.
winogender	secretaries.someone.1.someone.txt	The secretaries asked someone to sign in so that they could be issued a guest badge.
winogender	supervisors.someone.1.someone.txt	Several supervisors gave someone feedback on their stellar performance.
winogender	supervisors.someone.0.someone.txt	Someone gave several supervisors feedback on their managing style.
winogender	managers.someone.0.someone.txt	Someone asked to speak with the managers because they would be able to fix the billing error.
winogender	managers.someone.1.someone.txt	Someone asked to speak with the managers because they wanted to fix the billing error quickly.
winogender	therapists.someone.0.someone.txt	Someone confided in several therapists because they seemed trustworthy.
winogender	therapists.someone.1.someone.txt	Someone confided in several therapists because they were seeking emotional support.
winogender	salespersons.someone.0.someone.txt	Someone asked several salespersons if they could explain the pricing of each product.
winogender	salespersons.someone.1.someone.txt	Someone asked several salespersons if they were eligible for an additional discount.
winogender	psychologists.someone.0.someone.txt	Several psychologists told someone to fill out a questionnaire so they could make a preliminary assessment.
winogender	psychologists.someone.1.someone.txt	Several psychologists told someone to fill out a questionnaire so they could be quickly assessed.
winogender	physicians.someone.1.someone.txt	Several physicians warned someone that they needed to get more rest.
winogender	physicians.someone.0.someone.txt	Several physicians warned someone that they could not safely prescribe a higher dose.
winogender	plumbers.someone.0.someone.txt	Someone called several plumbers to get different estimates for their services.
winogender	plumbers.someone.1.someone.txt	Someone called several plumbers to get different estimates for repairing their broken pipes.
winogender	nutritionists.someone.1.someone.txt	Several nutritionists explained to someone that cutting down on sugar would be an effective way to improve their diet.
winogender	nutritionists.someone.0.someone.txt	Several nutritionists explained to someone that it was their belief that diet and exercise were equally important.
winogender	hairdressers.someone.0.someone.txt	Several hairdressers recommended someone try a new shampoo because they thought it would be helpful.
winogender	hairdressers.someone.1.someone.txt	Several hairdressers recommended someone try a new shampoo because they wanted to try something different.
winogender	programmers.someone.0.someone.txt	Several programmers volunteered to teach someone to code because they wanted to earn good karma.
winogender	programmers.someone.1.someone.txt	Several programmers volunteered to teach someone to code because they wanted to become a web developer.
winogender	hygienists.someone.1.someone.txt	Several hygienists told someone that they needed to floss every day to avoid gum disease.
winogender	hygienists.someone.0.someone.txt	Several hygienists told someone that they needed to perform extensive cleanings.
winogender	cashiers.someone.1.someone.txt	Several cashiers told someone that they couldn't use a credit card for purchases under ten dollars.
winogender	cashiers.someone.0.someone.txt	Several cashiers told someone that they couldn't accept credit cards for purchases under ten dollars.
winogender	dietitians.someone.0.someone.txt	Several dietitians encouraged someone to eat three square meals a day because that was the advice they gave everyone.
winogender	dietitians.someone.1.someone.txt	Several dietitians encouraged someone to eat three square meals a day because they were not getting enough to eat.
winogender	brokers.someone.0.someone.txt	Several brokers called someone because they had new stocks to recommend.
winogender	brokers.someone.1.someone.txt	Several brokers called someone because they had requested some phone consultations.
winogender	doctors.someone.1.someone.txt	Several doctors told someone that they would be at risk without the vaccination.
winogender	doctors.someone.0.someone.txt	Several doctors told someone that they would reccomend getting the vaccination.
winogender	instructors.someone.0.someone.txt	Several instructors encouraged someone to attend their help sessions.
winogender	instructors.someone.1.someone.txt	Several instructors encouraged someone to pursue their dreams.
winogender	teachers.someone.1.someone.txt	Several teachers told someone that they should study harder.
winogender	teachers.someone.0.someone.txt	Several teachers told someone that they couldn't grant more extensions.
winogender	counselors.someone.0.someone.txt	Several counselors disclosed to someone that they were professionally mandated to report certain issues.
winogender	counselors.someone.1.someone.txt	Someone disclosed to several counselors that they had a history of substance abuse.
winogender	architects.someone.1.someone.txt	Someone set up a meeting with various architects to explore options for their new home.
winogender	architects.someone.0.someone.txt	Someone set up a meeting with various architects to view their blueprints for inspiration.
winogender	nurses.someone.0.someone.txt	Several nurses told someone that they had to administer treatment as the doctor requested.
winogender	nurses.someone.1.someone.txt	Several nurses told someone that they should do as the doctor reccomended.
winogender	practitioners.someone.1.someone.txt	The practitioners made house calls for someone because they felt gravely ill.
winogender	practitioners.someone.0.someone.txt	The practitioners made house calls for someone because they felt a sense of obligation.
winogender	librarians.someone.1.someone.txt	Several librarians helped someone pick out books because they did not know what to read.
winogender	librarians.someone.0.someone.txt	Several librarians helped someone pick out books because they liked to encourage reading.
winogender	pharmacists.someone.1.someone.txt	Several pharmacists told someone that they should take the pills with food.
winogender	pharmacists.someone.0.someone.txt	Several pharmacists told someone that they recommended taking the pills with food.
winogender	dispatchers.someone.0.someone.txt	Someone called 911 dispatchers , but they couldn't help.
winogender	dispatchers.someone.1.someone.txt	Someone called 911 dispatchers , but they didn't know how to describe the problem.
winogender	veterinarians.someone.1.someone.txt	Several veterinarians informed someone that their cat had a poor prognosis.
winogender	veterinarians.someone.0.someone.txt	Several veterinarians informed someone that their expertise could help save Mittens.
winogender	appraisers.someone.1.someone.txt	Several appraisers told someone that they had paid too much for the painting.
winogender	appraisers.someone.0.someone.txt	Several appraisers told someone that they valued the painting at ten thousand dollars.
winogender	bakers.someone.1.someone.txt	Someone ordered chocolate cakes from several bakers even though they were on a low-carb diet.
winogender	bakers.someone.0.someone.txt	Someone ordered chocolate cakes from several bakers even though they had bad reviews online.
wsc	city councilmen.someone.0.someone.txt	The city councilmen refused someone a permit because they feared violence.
wsc	city councilmen.someone.1.someone.txt	The city councilmen refused someone a permit because they advocated violence.
wsc	doctors.someone.1.someone.txt	Someone made sure to thank the doctors for all the help they had recieved.
wsc	doctors.someone.0.someone.txt	Someone made sure to thank the doctors for all the help they had given.
wsc	receptionists.someone.0.someone.txt	Several receptionists tried to call someone on the phone, but they weren't successful.
wsc	receptionists.someone.1.someone.txt	Several receptionists tried to call someone on the phone, but they weren't available.
wsc	lawyers.someone.0.someone.txt	The lawyers asked someone a question, but they were reluctant to repeat it.
wsc	lawyers.someone.1.someone.txt	The lawyers asked someone a question, but they were reluctant to answer it.
wsc	team.someone.0.someone.txt	The team felt vindicated when their longtime rival someone revealed that they were the winner of the competition.
wsc	team.someone.1.someone.txt	The team felt crushed when their longtime rival someone revealed that they were the winner of the competition.
wsc	firefighters.someone.0.someone.txt	The firefighters couldn't lift someone because they were so weak.
wsc	firefighters.someone.1.someone.txt	The firefighters couldn't lift someone because they were so heavy.
wsc	firemen.someone.0.someone.txt	The firemen arrived after someone because they were coming from so far away.
wsc	firemen.someone.1.someone.txt	The firemen arrived before someone because they were coming from so far away.
wsc	teachers.someone.0.someone.txt	Several teachers yelled at someone because they were so upset.
wsc	teachers.someone.1.someone.txt	Several teachers comforted someone because they were so upset.
wsc	doctors.someone.1.someone.txt	Someone envies the doctors although they are very successful.
wsc	doctors.someone.0.someone.txt	Someone envies the doctors because they are very successful.
wsc	older students.someone.0.someone.txt	The older students were bullying someone , so they were punished.
wsc	older students.someone.1.someone.txt	The older students were bullying someone , so they were rescued.
wsc	neighbors.someone.0.someone.txt	The neighbors knows all about someone's personal problems because they are nosy.
wsc	neighbors.someone.1.someone.txt	The neighbors knows all about someone's personal problems because they are indiscreet.
wsc	professors.someone.1.someone.txt	Several professors explained the theory to someone but they couldn't be convinced.
wsc	professors.someone.0.someone.txt	Several professors explained the theory to someone but they weren't understood.
wsc	retirees.someone.1.someone.txt	The retirees can still beat someone at tennis, even though they are 30 years younger.
wsc	retirees.someone.0.someone.txt	The retirees uncle can still beat someone at tennis, even though they are all 30 years older.
wsc	students.someone.0.someone.txt	The students asked someone what time the library closes, because they had forgotten.
wsc	students.someone.1.someone.txt	The students asked someone what time the library closes, but they had forgotten.
wsc	benefactors.someone.0.someone.txt	The benefactors paid for someone's college education. they are very generous.
wsc	benefactors.someone.1.someone.txt	The benefactors paid for someone's college education. they are very grateful.
wsc	benefactors.someone.0.someone.txt	The benefactors paid for someone's college education, but now someone acts as though it never happened. they are very hurt.
wsc	benefactors.someone.1.someone.txt	The benefactors paid for someone's college education, but now the someone acts as though it never happened. they are very ungrateful.
wsc	con artists.someone.0.someone.txt	If the con artists has succeeded in fooling someone , they would have gotten a lot of money.
wsc	con artists.someone.1.someone.txt	If the con artists has succeeded in fooling someone , they would have lost a lot of money.
wsc	robbers.someone.0.someone.txt	Several robbers walked into the bank and stabbed someone. they were immediately taken to the police station.
wsc	robbers.someone.1.someone.txt	Several robbers walked into the bank and stabbed someone. they were immediately taken to the hospital.
wsc	researchers.someone.0.someone.txt	The researchers were doing research in the library when he heard a someone humming and whistling. they were very annoyed.
wsc	researchers.someone.1.someone.txt	The researchers were doing research in the library when he heard a someone humming and whistling. they were very annoying.
wsc	jugglers.someone.1.someone.txt	Someone was jogging through the park and saw the jugglers. they were very impressed.
wsc	jugglers.someone.0.someone.txt	Someone was jogging through the park and saw the jugglers. they were very impressive.
wsc	paramedics.someone.0.someone.txt	Someone collapsed on the sidewalk. Soon the paramedics coming to help. they were very ill.
wsc	paramedics.someone.1.someone.txt	Someone collapsed on the sidewalk. Soon the paramedics coming to help. they were very concerned.
wsc	salespersons.someone.0.someone.txt	The salespersons knocked on someone's door, but there was no answer. they were disappointed.
wsc	salespersons.someone.1.someone.txt	The salespersons knocked on someone's door, but there was no answer. they were out.
wsc	students.someone.0.someone.txt	The students took French classes from someone , because they were eager to speak it fluently.
wsc	students.someone.1.someone.txt	The students took French classes from someone , because they were known to speak it fluently.
wsc	parents.someone.0.someone.txt	The parents tucked someone into bed, so that they could work.
wsc	parents.someone.1.someone.txt	The parents tucked someone into bed, so that they could sleep.
wsc	family members.someone.0.someone.txt	The family members visited someone's grave in 1765. At that date they had been travelling for five years.
wsc	family members.someone.1.someone.txt	The family members visited someone's grave in 1765. At that date they had been dead for five years.
wsc	painters.someone.1.someone.txt	Someone was greatly influenced by impressionist painters , though they lived two centuries later.
wsc	painters.someone.0.someone.txt	Someone was greatly influenced by impressionist painters , though they lived two centuries earlier.
wsc	caretakers.someone.1.someone.txt	Someone watched TV while the caretakers went out to buy groceries. After an hour they got up.
wsc	caretakers.someone.0.someone.txt	Someone watched TV while the caretakers went out to buy groceries. After an hour they got back.
wsc	journalists.someone.0.someone.txt	The journalists interviewed someone of the new movie. they were very persistent, so the interview lasted for a long time.
wsc	journalists.someone.1.someone.txt	The journalists interviewed someone of the new movie. they were very cooperative, so the interview lasted for a long time.
wsc	gang members.someone.1.someone.txt	Someone arrested all of the gang members. they were trying to stop the drug trade in the neighborhood.
wsc	gang members.someone.0.someone.txt	Someone arrested all of the gang members. they were trying to run the drug trade in the neighborhood.
wsc	police officers.someone.0.someone.txt	The police officers promised someone to leave, so an hour later they left.
wsc	police officers.someone.1.someone.txt	The police officers ordered someone to leave, so an hour later they left.
wsc	missionaries.someone.0.someone.txt	The missionaries knocked on someone's door but they did not get an answer.
wsc	missionaries.someone.1.someone.txt	The missionaries knocked on someone's door but they did not answer.
wsc	detectives.someone.1.someone.txt	Someone paid the detectives after they received the final report on the case.
wsc	detectives.someone.0.someone.txt	Someone paid the detectives after they delivered the final report on the case.
wsc	bartenders.someone.0.someone.txt	Someone signaled the bartenders and gestured toward their empty glass
wsc	bartenders.someone.1.someone.txt	Someone signaled the bartenders and gestured toward their bathroom key.
wsc	farmers.someone.1.someone.txt	As someone in the crop duster passed over the farmers , they could see the landing strip.
wsc	farmers.someone.0.someone.txt	As someone in the crop duster passed over the farmers , they could see the landing gear.
wsc	students.someone.1.someone.txt	Someone gave the other students a lift to school so they wouldn't have to drive alone.
wsc	students.someone.0.someone.txt	Someone gave the other students a lift to school so they wouldn't have to walk.
wsc	students.someone.1.someone.txt	Someone spoke to the students , breaking them silence.
wsc	students.someone.0.someone.txt	Someone spoke to the students , breaking them concentration.
wsc	children.someone.1.someone.txt	As someone carried the children up the long winding steps, their legs ached.
wsc	children.someone.0.someone.txt	As someone carried the children up the long winding steps, their legs dangled.
wsc	fathers.someone.0.someone.txt	The fathers carried the sleeping someone in their arms
wsc	fathers.someone.1.someone.txt	The fathers carried the sleeping someone in their bassinet.
wsc	veterinarians.someone.0.someone.txt	The veterinarians had to stop someone from toying with the injured bird. they are very compassionate.
wsc	veterinarians.someone.1.someone.txt	The veterinarians had to stop someone from toying with the injured bird. they are very cruel.
wsc	fans.someone.0.someone.txt	The fans got free tickets to the play, but gave them to someone , even though they were particularly eager to see it.
wsc	fans.someone.1.someone.txt	The fans got free tickets to the play, but gave them to someone , because they were particularly eager to see it.
wsc	fans.someone.0.someone.txt	The fans got free tickets to the play, but gave them to someone , because they were not particularly eager to see it.
wsc	tellers.someone.1.someone.txt	Someone asked the tellers for a favor but they were refused.
wsc	tellers.someone.0.someone.txt	Someone asked the tellers for a favor but they refused.
wsc	students.someone.0.someone.txt	This book introduced the students to someone ; it was a major influence on their writing.
wsc	students.someone.1.someone.txt	This book introduced the students to someone ; it was a fine selection of their writing.
wsc	chatbots.someone.1.someone.txt	At the Loebner competition someone couldn't figure out which respondents were the chatbots because they were so stupid.
wsc	chatbots.someone.0.someone.txt	At the Loebner competition someone couldn't figure out which respondents were the chatbots because they were so advanced.
dpr	riders.someone.1.someone.txt	Someone yelled at a the riders after they drove the vehicle.
dpr	riders.someone.0.someone.txt	Someone yelled at a the riders after they broke a window.
dpr	teachers.someone.1.someone.txt	The teachers did not recommend someone because they were not a good student.
dpr	teachers.someone.0.someone.txt	The teachers did not recommend someone because they had high standards.
dpr	students.someone.1.someone.txt	The students fell asleep during someone's lecture because they were boring.
dpr	students.someone.0.someone.txt	The students fell asleep during someone's lecture because they were bored.
dpr	jurors.someone.0.someone.txt	The jurors deliberated on someone's fate for hours, but they did not reach a verdict.
dpr	jurors.someone.1.someone.txt	The jurors deliberated on someone's fate for hours, but they didn't receive the death penalty.
dpr	musicians.someone.0.someone.txt	The musicians were booed by someone because they had performed poorly.
dpr	musicians.someone.1.someone.txt	The musicians were booed by someone because they had expected a rock band.
dpr	zombies.someone.0.someone.txt	The zombies chased someone because they were hungry.
dpr	zombies.someone.1.someone.txt	The zombies chased someone because they were tasty.
dpr	preschoolers.someone.0.someone.txt	When someone visited the preschoolers , they were surprisingly well behaved.
dpr	preschoolers.someone.1.someone.txt	When someone visited the preschoolers , they were very hospitable.
dpr	jocks.someone.0.someone.txt	The jocks did not like someone because they were bullies.
dpr	jocks.someone.1.someone.txt	The jocks did not like someone because they were losers.
dpr	mechanics.someone.0.someone.txt	The mechanics charged someone one hundred dollars although they had done no work.
dpr	mechanics.someone.1.someone.txt	The mechanics charged someone one hundred dollars although they only had eighty dollars.
dpr	assassins.someone.1.someone.txt	The assassins killed someone because they were a too liberal.
dpr	assassins.someone.0.someone.txt	The assassins killed someone because they were paid to do it.
dpr	employees.someone.1.someone.txt	Someone declared bonus for the employees because they made huge profits.
dpr	employees.someone.0.someone.txt	Someone declared bonus for the employees because they worked hard.
dpr	parents.someone.1.someone.txt	Someone denied the parents parking permits because they did not want the parking lots to be over crowded with cars.
dpr	parents.someone.0.someone.txt	Someone denied the parents parking permits because they violated parking rules.
dpr	students.someone.0.someone.txt	Someone failed the students because they answered the test incorrectly.
dpr	students.someone.1.someone.txt	Someone failed the students because they graded the test incorrectly.
dpr	professors.someone.1.someone.txt	Several professors gave someone a bad grade because they did not study.
dpr	professors.someone.0.someone.txt	Several professors gave someone a bad grade because they were strict.
dpr	chefs.someone.1.someone.txt	The chefs gave the fruit to someone because they were hungry.
dpr	chefs.someone.0.someone.txt	The chefs gave the fruit to someone because they thought it was ripe.
dpr	government officials.someone.0.someone.txt	The government officials publicly apologized to someone because they were forced to.
dpr	government officials.someone.1.someone.txt	The government officials publicly apologized to someone because they demanded an apology.
dpr	protestors.someone.1.someone.txt	Someone shot the protestors because they lost composure.
dpr	protestors.someone.0.someone.txt	Someone shot the protestors because they tried to attack the governor.
dpr	professors.someone.1.someone.txt	Several professors highly recommends someone because they ask very good questions.
dpr	professors.someone.0.someone.txt	Several professors highly recommends someone because they appreciate an inquisitive mind.
dpr	students.someone.1.someone.txt	The students protested against someone because they were too strict.
dpr	students.someone.0.someone.txt	The students protested against someone because they were angry.
dpr	criminals.someone.0.someone.txt	Someone captured the criminals because they were less prepared.
dpr	criminals.someone.1.someone.txt	Someone captured the criminals because they were more prepared.
dpr	employers.someone.1.someone.txt	The employers let someone have the assignment even though they did not want it.
dpr	employers.someone.0.someone.txt	The employers let someone have the assignment even though they wanted it.
dpr	scientists.someone.0.someone.txt	Someone asked the scientists what they were working on.
dpr	scientists.someone.1.someone.txt	Someone asked the scientists what they could do to help.
dpr	artists.someone.1.someone.txt	The artists told someone that they needed to stand up straighter.
dpr	artists.someone.0.someone.txt	The artists told someone that they needed to get more paint.
dpr	marines.someone.1.someone.txt	The marines killed someone because they were a threat.
dpr	marines.someone.0.someone.txt	The marines killed someone because they were ordered to.
dpr	men.someone.0.someone.txt	The men asked someone the question again because they were curious.
dpr	men.someone.1.someone.txt	The men asked someone the question again because they were being evasive.
dpr	other students.someone.0.someone.txt	The other students corrected someone because they better understood the problem.
dpr	other students.someone.1.someone.txt	The other students corrected someone because they had misunderstood the problem.
dpr	slaves.someone.0.someone.txt	The slaves were forced to do the bidding of someone since they have no rights.
dpr	slaves.someone.1.someone.txt	The slaves were forced to do the bidding of someone so they do not have to do any of the hard labor.
dpr	passengers.someone.1.someone.txt	Someone admonished passengers because they were enforcing the rules.
dpr	passengers.someone.0.someone.txt	Someone admonished passengers because they were not following the rules.
dpr	chefs.someone.0.someone.txt	The chefs made breakfast for someone because they were required to.
dpr	chefs.someone.1.someone.txt	The chefs made breakfast for someone because they required food.
dpr	fans.someone.0.someone.txt	Someone connected well to the fans , so they continued to buy albums.
dpr	fans.someone.1.someone.txt	Someone connected well to the fans , so they continued to write albums.
dpr	leprechauns.someone.0.someone.txt	Someone chased the leprechauns because they had a pot of gold.
dpr	leprechauns.someone.1.someone.txt	Someone chased the leprechauns because they wanted a pot of gold.
dpr	judges.someone.1.someone.txt	The judges were fond of someone so they received the gold medal.
dpr	judges.someone.0.someone.txt	The judges were fond of someone so they voted favorably.
dpr	workers.someone.1.someone.txt	Someone gave the workers a raise because they had no other choice.
dpr	workers.someone.0.someone.txt	Someone gave the workers a raise because they had threatened to strike.
dpr	officials.someone.0.someone.txt	The officials tried to free someone from North Korea, but they were unsuccessful.
dpr	officials.someone.1.someone.txt	The officials tried to free someone from North Korea, but they were held captive.
dpr	secretaries.someone.1.someone.txt	The secretaries and someone met about them being elected.
dpr	secretaries.someone.0.someone.txt	The secretaries and someone met about them being appointed.
dpr	referees.someone.1.someone.txt	The referees treats someone like a running back because they has distinct style of play.
dpr	referees.someone.0.someone.txt	The referees treats someone like a running back because they do not understand the game.
dpr	kidnappers.someone.0.someone.txt	The kidnappers will not return someone until they are given a private performance.
dpr	kidnappers.someone.1.someone.txt	The kidnappers will not return someone until they agree to a private performance.
dpr	authorities.someone.1.someone.txt	The authorities detained someone because they were trespassing.
dpr	authorities.someone.0.someone.txt	The authorities detained someone because they were prejudiced.
dpr	veterans.someone.0.someone.txt	The veterans defeated someone because they were more experienced.
dpr	veterans.someone.1.someone.txt	The veterans defeated someone because they were less experienced.
dpr	police.someone.0.someone.txt	The police arrested someone because they were preventing trouble.
dpr	police.someone.1.someone.txt	The police arrested someone because they were causing trouble.
dpr	listeners.someone.1.someone.txt	The listeners did not complain about someone because they were autotuned.
dpr	listeners.someone.0.someone.txt	The listeners did not complain about someone because they were tone deaf.
dpr	cops.someone.0.someone.txt	The cops maced someone because they blindly follow orders.
dpr	cops.someone.1.someone.txt	The cops maced someone because they did not blindly follow orders.
dpr	burglars.someone.0.someone.txt	Someone fired at the burglars because they stole items.
dpr	burglars.someone.1.someone.txt	Someone fired at the burglars because they saw a shadow.
dpr	guards.someone.1.someone.txt	Someone saw the guards as they snuck past.
dpr	guards.someone.0.someone.txt	Someone saw the guards as they marched past.
dpr	advisors.someone.1.someone.txt	The advisors told someone that they should declare war.
dpr	advisors.someone.0.someone.txt	The advisors told someone that they were resigning.
dpr	children.someone.1.someone.txt	The children egged someone because they had no candy.
dpr	children.someone.0.someone.txt	The children egged someone because they had no dignity.
dpr	police.someone.1.someone.txt	The police arrested someone since they break the law.
dpr	police.someone.0.someone.txt	The police arrested someone since they enforce the law.
dpr	parents.someone.0.someone.txt	The parents grounded someone since they demanded obedience.
dpr	parents.someone.1.someone.txt	The parents grounded someone since they were disobedient.
dpr	carpenters.someone.0.someone.txt	The carpenters came before someone since they need to build the furniture first.
dpr	carpenters.someone.1.someone.txt	The carpenters came before someone since they need to paint after the furniture has already been built.
dpr	painters.someone.1.someone.txt	Someone came before the painters since they need to build the furniture first.
dpr	painters.someone.0.someone.txt	Someone came before the painters since they need to paint after the furniture has already been built.
dpr	scientists.someone.0.someone.txt	The scientists managed to link someone to the crime since they analyzed the blood samples at the crime scene.
dpr	scientists.someone.1.someone.txt	The scientists managed to link someone to the crime, so they are now going to go to prison.
dpr	criminals.someone.1.someone.txt	Someone managed to link the criminals to the crime since they analyzed the blood samples at the crime scene.
dpr	criminals.someone.0.someone.txt	Someone managed to link the criminals to the crime, so they are now going to go to prison.
dpr	ski instructors.someone.1.someone.txt	The ski instructors taught someone the basics of skiing since they are trying to learn.
dpr	ski instructors.someone.0.someone.txt	The ski instructors taught someone the basics of skiing because they have much experience to share and teach.
dpr	swimmers.someone.1.someone.txt	Someone evacuated the swimmers from the public pool since they needed to clean the pool.
dpr	swimmers.someone.0.someone.txt	Someone evacuated the swimmers from the public pool because they were in danger of getting sick from human wastes in the water.
dpr	scribes.someone.0.someone.txt	The scribes were hired by someone since they had the ability to read and write.
dpr	scribes.someone.1.someone.txt	The scribes were hired by someone although they were able to read and write themself.
dpr	consultants.someone.0.someone.txt	The consultants are hired by someone to perform specialized tasks because they are easier to hire than trying to perform a task oneself.
dpr	consultants.someone.1.someone.txt	The consultants are hired by someone to perform specialized tasks, but they do not always have money in the budget to hire these services.
dpr	customers.someone.1.someone.txt	Someone fields the questions of the customers so they can provide immediate assistance.
dpr	customers.someone.0.someone.txt	Someone fields the questions of the customers so they can receive immediate assistance.
dpr	consumers.someone.1.someone.txt	Someone sold a new LED monitor for a heavily discounted price to the consumers , so they could create a stronger foot hold in the computer sector.
dpr	consumers.someone.0.someone.txt	Someone sold a new LED monitor for a heavily discounted price to the consumers , so they ended up buying mass amounts of monitors.
